GEOID,total,total_moe,poverty,poverty_moe,poverty_rate,total_cancer,total_copd,total_diabetes,total_heart,mortality,mortality_rate
63110,17147,878,2538,482,148.0142298944422,139,24,21,161,345,20.12013763340526
63025,13873,796,526,312,37.91537518921646,145,31,11,156,343,24.724284581561307
63031,46223,1299,4484,916,97.00798303874694,512,114,59,665,1350,29.206239318088397
63105,13893,493,1197,265,86.15849708486289,101,16,NA,83,200,14.395738861297056
63112,18461,835,4140,612,224.25654081577377,197,30,28,221,476,25.7840853691566
63114,35097,975,6250,1081,178.07789839587429,358,92,50,466,966,27.52371997606633
63119,32882,491,1490,395,45.31354540478073,356,78,53,484,971,29.529833951706102
63125,32744,1192,3754,718,114.64695822135353,450,133,39,512,1134,34.63229904715367
63130,27810,775,4261,731,153.2182668104998,275,46,42,284,647,23.265012585400935
63135,21516,856,3846,794,178.75069715560514,214,33,36,238,521,24.214538018219
63143,9572,278,1234,287,128.9176765566235,79,17,8,78,182,19.01379022147931
63146,29931,1120,2165,495,72.33303264174268,326,52,32,406,816,27.262704219705324
63304,41105,1208,1128,312,27.441917041722416,337,52,31,306,726,17.662084904512835
63348,6801,705,140,83,20.58520805763858,81,10,6,48,145,21.320394059697104
63357,5331,750,321,156,60.21384355655599,63,11,5,47,126,23.635340461451886
63107,9399,791,3553,542,378.0189381849133,149,29,24,167,369,39.25949569103096
63113,10758,989,3634,706,337.79512920617213,202,32,32,238,504,46.848856664807585
63117,8944,153,592,156,66.18962432915922,91,19,14,96,220,24.59749552772809
63120,8584,983,3793,1042,441.8685927306617,119,19,17,127,282,32.851817334575955
63139,21851,784,2524,549,115.5095876618919,188,57,24,237,506,23.156834927463272
63147,9053,878,2878,864,317.9056666298465,138,26,19,167,350,38.66121727604109
63341,3654,347,113,83,30.925013683634372,29,NA,NA,20,49,13.409961685823756
63017,39842,769,1968,393,49.3951106872145,531,114,41,690,1376,34.53641885447518
63040,8244,461,181,140,21.95536147501213,49,NA,NA,42,91,11.038330907326541
63042,19419,609,2449,699,126.11360008239353,209,45,13,194,461,23.739636438539574
63366,49308,1080,3160,753,64.08696357589032,410,87,26,393,916,18.57710716313783
63069,14342,799,1187,350,82.7639101938363,153,46,9,169,377,26.286431460047414
63129,53279,1134,2702,526,50.71416505565044,550,100,46,555,1251,23.48017042361906
63133,7158,447,2897,490,404.7219893825091,99,17,20,120,256,35.76417993853032
63137,19390,894,4655,858,240.07220216606498,230,43,35,243,551,28.41670964414647
63301,44431,1514,4678,826,105.28684927190476,557,166,63,649,1435,32.297269924152054
